# euler(y0, y1, ) runge2a(y0, y1, ) runge2b(y0, y1, ) runge2c(y0, y1, ) runge3(y0, y1, ) runge4a(y0, y1, ) runge4b(y0, y1, ) adams2(y0, y1, ) adams3(y0, y1, ) adams4(y0, y1, ) 
0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000
0.050050 1.000000 0.035035 1.000877 0.034960 1.000877 0.034997 1.000877 0.034985 1.000876 0.034995 1.000876 0.034995 1.000876 0.034995 1.000876 0.034995 1.000876 0.034995 1.000876 0.034995
0.100100 1.001754 0.069920 1.003500 0.069680 1.003502 0.069755 1.003502 0.069730 1.003499 0.069751 1.003499 0.069751 1.003499 0.069751 1.003500 0.069731 1.003499 0.069751 1.003499 0.069751
0.150150 1.005253 0.104415 1.007853 0.103922 1.007858 0.104034 1.007856 0.103996 1.007850 0.104026 1.007850 0.104026 1.007850 0.104026 1.007850 0.103987 1.007991 0.104059 1.007850 0.104026
0.200200 1.010479 0.138283 1.013904 0.137442 1.013915 0.137592 1.013911 0.137542 1.013900 0.137581 1.013900 0.137581 1.013900 0.137581 1.013897 0.137521 1.014044 0.137610 1.014609 0.137570
0.250250 1.017400 0.171286 1.021611 0.170001 1.021630 0.170188 1.021624 0.170125 1.021606 0.170173 1.021606 0.170173 1.021606 0.170173 1.021598 0.170093 1.021751 0.170206 1.022183 0.170146
0.300300 1.025973 0.203183 1.030921 0.201354 1.030949 0.201578 1.030940 0.201503 1.030914 0.201558 1.030914 0.201558 1.030914 0.201558 1.030899 0.201458 1.031060 0.201595 1.031486 0.201561
0.350350 1.036142 0.233736 1.041767 0.231257 1.041807 0.231518 1.041794 0.231431 1.041757 0.231492 1.041758 0.231492 1.041758 0.231492 1.041734 0.231371 1.041905 0.231534 1.042331 0.231512
0.400400 1.047841 0.262706 1.054071 0.259467 1.054123 0.259763 1.054106 0.259664 1.054057 0.259731 1.054058 0.259731 1.054058 0.259731 1.054023 0.259590 1.054207 0.259777 1.054633 0.259767
0.450450 1.060989 0.289855 1.067740 0.285741 1.067808 0.286072 1.067785 0.285961 1.067724 0.286032 1.067725 0.286033 1.067725 0.286033 1.067676 0.285871 1.067876 0.286082 1.068301 0.286082
0.500501 1.075496 0.314949 1.082674 0.309839 1.082758 0.310205 1.082730 0.310083 1.082653 0.310157 1.082654 0.310157 1.082654 0.310157 1.082590 0.309975 1.082807 0.310211 1.083233 0.310220
0.550551 1.091260 0.337755 1.098756 0.331530 1.098858 0.331928 1.098824 0.331795 1.098730 0.331871 1.098731 0.331871 1.098731 0.331871 1.098650 0.331670 1.098886 0.331928 1.099314 0.331946
0.600601 1.108164 0.358049 1.115860 0.350588 1.115982 0.351016 1.115942 0.350872 1.115829 0.350950 1.115830 0.350950 1.115830 0.350950 1.115730 0.350730 1.115988 0.351010 1.116417 0.351035
0.650651 1.126085 0.375616 1.133850 0.366800 1.133994 0.367255 1.133945 0.367103 1.133813 0.367181 1.133814 0.367181 1.133814 0.367181 1.133693 0.366943 1.133974 0.367245 1.134405 0.367275
0.700701 1.144884 0.390256 1.152577 0.379970 1.152744 0.380450 1.152688 0.380289 1.152533 0.380367 1.152534 0.380368 1.152534 0.380368 1.152390 0.380114 1.152697 0.380434 1.153131 0.380468
